event_type,simulation_time,message_id,pair_id,direction,source_user_id,target_user_id,source_access_satellite_id,target_access_satellite_id,delay_ms,hop_count,path_length,path_satellite_ids,note
generate,5.100,case3-1-101-0,1,A_to_B,1,101,234,383,,,,,
generate,5.100,case3-2-102-0,2,A_to_B,2,102,353,383,,,,,
generate,5.100,case3-50-150-0,50,A_to_B,50,150,353,79,,,,,
generate,5.100,case3-51-151-0,51,A_to_B,51,151,234,103,,,,,
generate,5.100,case3-52-152-0,52,A_to_B,52,152,234,359,,,,,
generate,5.100,case3-100-0-0,0,B_to_A,100,0,359,234,,,,,
generate,5.100,case3-101-1-0,1,B_to_A,101,1,383,234,,,,,
generate,5.100,case3-102-2-0,2,B_to_A,102,2,383,353,,,,,
arrival,5.100,case3-2-102-0,2,A_to_B,2,102,,383,61.102,7,9,353 354 355 356 357 382 383,
generate,5.100,case3-150-50-0,50,B_to_A,150,50,79,353,,,,,
generate,5.150,case3-151-51-0,51,B_to_A,151,51,103,234,,,,,
generate,5.150,case3-152-52-0,52,B_to_A,152,52,359,234,,,,,
generate,5.150,case3-153-53-0,53,B_to_A,153,53,383,234,,,,,
arrival,5.150,case3-1-101-0,1,A_to_B,1,101,,383,83.154,8,10,234 259 284 309 334 359 384 383,
arrival,5.150,case3-100-0-0,0,B_to_A,100,0,,234,63.656,6,8,359 334 309 284 259 234,
arrival,5.150,case3-52-152-0,52,A_to_B,52,152,,359,63.710,6,8,234 259 284 309 334 359,
arrival,5.150,case3-50-150-0,50,A_to_B,50,150,,79,66.063,7,9,353 378 3 28 53 78 79,
arrival,5.150,case3-102-2-0,2,B_to_A,102,2,,353,60.835,7,9,383 382 381 380 379 354 353,
arrival,5.150,case3-101-1-0,1,B_to_A,101,1,,234,77.647,8,10,383 358 333 308 283 258 233 234,
arrival,5.150,case3-152-52-0,52,B_to_A,152,52,,234,63.710,6,8,359 334 309 284 259 234,
arrival,5.150,case3-51-151-0,51,A_to_B,51,151,,103,104.254,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,5.150,case3-150-50-0,50,B_to_A,150,50,,353,60.778,7,9,79 54 29 4 379 354 353,
arrival,5.150,case3-153-53-0,53,B_to_A,153,53,,234,77.596,8,10,383 358 333 308 283 258 233 234,
arrival,5.150,case3-151-51-0,51,B_to_A,151,51,,234,104.255,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
generate,5.200,case3-0-100-0,0,A_to_B,0,100,234,359,,,,,
arrival,5.250,case3-0-100-0,0,A_to_B,0,100,,359,63.657,6,8,234 259 284 309 334 359,
generate,5.300,case3-3-103-0,3,A_to_B,3,103,234,103,,,,,
generate,5.300,case3-4-104-0,4,A_to_B,4,104,234,359,,,,,
generate,5.300,case3-5-105-0,5,A_to_B,5,105,234,383,,,,,
generate,5.300,case3-6-106-0,6,A_to_B,6,106,353,79,,,,,
generate,5.300,case3-7-107-0,7,A_to_B,7,107,234,103,,,,,
generate,5.300,case3-53-153-0,53,A_to_B,53,153,234,383,,,,,
generate,5.300,case3-54-154-0,54,A_to_B,54,154,353,79,,,,,
generate,5.300,case3-55-155-0,55,A_to_B,55,155,234,103,,,,,
generate,5.350,case3-56-156-0,56,A_to_B,56,156,234,359,,,,,
generate,5.350,case3-57-157-0,57,A_to_B,57,157,234,383,,,,,
generate,5.350,case3-58-158-0,58,A_to_B,58,158,353,79,,,,,
generate,5.350,case3-103-3-0,3,B_to_A,103,3,103,234,,,,,
generate,5.350,case3-104-4-0,4,B_to_A,104,4,359,234,,,,,
generate,5.350,case3-105-5-0,5,B_to_A,105,5,383,234,,,,,
generate,5.350,case3-106-6-0,6,B_to_A,106,6,79,353,,,,,
generate,5.350,case3-107-7-0,7,B_to_A,107,7,103,234,,,,,
generate,5.350,case3-108-8-0,8,B_to_A,108,8,359,234,,,,,
generate,5.350,case3-154-54-0,54,B_to_A,154,54,79,353,,,,,
generate,5.350,case3-155-55-0,55,B_to_A,155,55,103,234,,,,,
generate,5.350,case3-156-56-0,56,B_to_A,156,56,359,234,,,,,
generate,5.350,case3-157-57-0,57,B_to_A,157,57,383,234,,,,,
generate,5.350,case3-158-58-0,58,B_to_A,158,58,79,353,,,,,
arrival,5.350,case3-4-104-0,4,A_to_B,4,104,,359,63.668,6,8,234 259 284 309 334 359,
arrival,5.350,case3-6-106-0,6,A_to_B,6,106,,79,65.986,7,9,353 378 3 28 53 78 79,
arrival,5.350,case3-5-105-0,5,A_to_B,5,105,,383,82.997,8,10,234 259 284 309 334 359 384 383,
arrival,5.350,case3-56-156-0,56,A_to_B,56,156,,359,63.644,6,8,234 259 284 309 334 359,
arrival,5.350,case3-104-4-0,4,B_to_A,104,4,,234,63.668,6,8,359 334 309 284 259 234,
arrival,5.350,case3-108-8-0,8,B_to_A,108,8,,234,63.635,6,8,359 334 309 284 259 234,
arrival,5.350,case3-54-154-0,54,A_to_B,54,154,,79,66.108,7,9,353 378 3 28 53 78 79,
arrival,5.350,case3-58-158-0,58,A_to_B,58,158,,79,65.983,7,9,353 378 3 28 53 78 79,
arrival,5.350,case3-53-153-0,53,A_to_B,53,153,,383,83.105,8,10,234 259 284 309 334 359 384 383,
arrival,5.350,case3-57-157-0,57,A_to_B,57,157,,383,83.135,8,10,234 259 284 309 334 359 384 383,
arrival,5.350,case3-106-6-0,6,B_to_A,106,6,,353,60.701,7,9,79 54 29 4 379 354 353,
arrival,5.350,case3-156-56-0,56,B_to_A,156,56,,234,63.643,6,8,359 334 309 284 259 234,
arrival,5.350,case3-105-5-0,5,B_to_A,105,5,,234,77.489,8,10,383 358 333 308 283 258 233 234,
arrival,5.350,case3-3-103-0,3,A_to_B,3,103,,103,104.468,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,5.350,case3-7-107-0,7,A_to_B,7,107,,103,104.418,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,5.350,case3-154-54-0,54,B_to_A,154,54,,353,60.824,7,9,79 54 29 4 379 354 353,
